Id,MetadataComponentId,MetadataComponentName,MetadataComponentNamespace,MetadataComponentType,RefMetadataComponentId,RefMetadataComponentName,RefMetadataComponentNamespace,RefMetadataComponentType
000000000000000AAA,01p0M0000000uX4QAI,AX_AcceptCaseActionController,,ApexClass,01p300000000LTYAA2,SS_SecurityUtils,,ApexClass
000000000000000AAA,01p0M0000000uX4QAI,AX_AcceptCaseActionController,,ApexClass,01p30000001jL76AAE,AX_AcceptCaseController,,ApexClass
000000000000000AAA,01p0M0000000uyGQAQ,SfdcPublishedQuoteCleanup,,ApexClass,01p30000001Gb18AAC,SfdcPublishQuoteDao,,ApexClass
000000000000000AAA,01p0M0000000uyGQAQ,SfdcPublishedQuoteCleanup,,ApexClass,01p30000001Gb1AAAS,SfdcPublishQuoteDomain,,ApexClass
000000000000000AAA,01p0M00000016TyQAI,Test_voc_ltng_searchFormController,,ApexClass,01p0M00000016TvQAI,TestUtilityAccountImpacted,,ApexClass
000000000000000AAA,01p0M00000016TyQAI,Test_voc_ltng_searchFormController,,ApexClass,01p0M00000016TwQAI,TestUtilityOpportunityImpacted,,ApexClass
000000000000000AAA,01p0M00000016TyQAI,Test_voc_ltng_searchFormController,,ApexClass,01p0M00000016TxQAI,TestUtilityVOC_ltng_Wizard,,ApexClass
000000000000000AAA,01p0M00000016VLQAY,ServiceMgmtSharingRulesQueueableJob,,ApexClass,01p300000021uZLAAY,GEN_ApexSharingTriggerHelperClass,,ApexClass
000000000000000AAA,01p0M00000016VMQAY,ServicesMgmtProjectAggregateIterable,,ApexClass,01p0M00000016VNQAY,ServicesMgmtProjectAggregateIterator,,ApexClass
000000000000000AAA,01p0M00000016VOQAY,ServicesMgmtProjectSharingScheduler,,ApexClass,01p0M00000016VRQAY,servicesMgmtProjectSharingBatchClass,,ApexClass
000000000000000AAA,01p0M00000016VPQAY,ServicesMgmtTriggerBatchQueueHC,,ApexClass,01p300000021uZTAAY,PRV_ServiceMgmtProjectSharingHelperClass,,ApexClass
000000000000000AAA,01p0M00000016VPQAY,ServicesMgmtTriggerBatchQueueHC,,ApexClass,01p300000021uZcAAI,ServicesMgmtPsaException,,ApexClass
000000000000000AAA,01p0M00000016VQQAY,ServicesMgmtTriggerBatchQueueHCTest,,ApexClass,01p300000021ua6AAA,ServicesMgmtPsaTestHarness,,ApexClass
000000000000000AAA,01p0M00000016VRQAY,servicesMgmtProjectSharingBatchClass,,ApexClass,01p0M00000016VMQAY,ServicesMgmtProjectAggregateIterable,,ApexClass
000000000000000AAA,01p0M00000016VRQAY,servicesMgmtProjectSharingBatchClass,,ApexClass,01p0M000002EWnkQAG,GEN_InitialAssignmentTriggerBC,,ApexClass
000000000000000AAA,01p0M00000016VRQAY,servicesMgmtProjectSharingBatchClass,,ApexClass,01p300000021uZLAAY,GEN_ApexSharingTriggerHelperClass,,ApexClass
000000000000000AAA,01p0M00000016VRQAY,servicesMgmtProjectSharingBatchClass,,ApexClass,01p300000021uZcAAI,ServicesMgmtPsaException,,ApexClass
000000000000000AAA,01p0M00000016VVQAY,BatchPicnicSPUpdate,,ApexClass,01p300000000HNrAAM,Org62ErrorHandlingUtil,,ApexClass
000000000000000AAA,01p0M00000016VWQAY,BatchPicnicTerrResourceUpdate,,ApexClass,01p300000000HNrAAM,Org62ErrorHandlingUtil,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M00000016ZqQAI,ContactRoleData,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M00000016ZzQAI,ManageRolesInterfaceUtil,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M00000016a0QAA,ManageRolesUtil,,ApexClass
000000000000000AAA,01p0M00000016ZnQAI,BaseControllerManageRoles,,ApexClass,01p0M000002FIgGQAW,AppStoreException,,ApexClass
000000000000000AAA,01p0M00000016ZoQAI,BaseControllerSelectContact,,ApexClass,01p0M000001LQzOQAW,AppConfig,,ApexClass
000000000000000AAA,01p0M00000016ZpQAI,BaseControllerSelectRole,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZqQAI,ContactRoleData,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000016ZqQAI,ContactRoleData,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000016ZuQAI,ContactRolesFactory,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000266XXQAY,ContractFields,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000266XYQAY,ContractRecordData,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p0M00000266fVQAQ,ServiceFieldSchema,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p300000000HNrAAM,Org62ErrorHandlingUtil,,ApexClass
000000000000000AAA,01p0M00000016ZsQAI,ContactRolesAsyncUtility,,ApexClass,01p3y0000026iyQAAQ,LicenseKeyContactRoleUtility,,ApexClass
000000000000000AAA,01p0M00000016ZtQAI,ContactRolesException,,ApexClass,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass
000000000000000AAA,01p0M00000016ZuQAI,ContactRolesFactory,,ApexClass,01p0M00000016ZqQAI,ContactRoleData,,ApexClass
000000000000000AAA,01p0M00000016ZuQAI,ContactRolesFactory,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZuQAI,ContactRolesFactory,,ApexClass,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000016ZqQAI,ContactRoleData,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000016ZtQAI,ContactRolesException,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000016ZuQAI,ContactRolesFactory,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000016gNQAQ,ContactRolesSchedulableAsyncUtility,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M000001kOgWQAU,SObjectServiceRequest,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M000001kOgXQAU,SObjectServiceResponse,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000266XXQAY,ContractFields,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000266XYQAY,ContractRecordData,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000266XbQAI,ContractService,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000266fUQAQ,ServiceCriteria,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p0M00000266fVQAQ,ServiceFieldSchema,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p3y0000026ixbAAA,ContactRoleUniqueValidation,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p3y0000026iyRAAQ,LicenseKeyContactRoleValidations,,ApexClass
000000000000000AAA,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass,01p3y000002hpqAAAQ,ClientUtils,,ApexClass
000000000000000AAA,01p0M00000016ZwQAI,CspTenantCommerceCloudDigital,,ApexClass,01p30000001GgYsAAK,CspTenant,,ApexClass
000000000000000AAA,01p0M00000016ZwQAI,CspTenantCommerceCloudDigital,,ApexClass,01p30000001GgYyAAK,CspTenantType,,ApexClass
000000000000000AAA,01p0M00000016ZxQAI,CspTenantCommerceCloudOm,,ApexClass,01p30000001GgYsAAK,CspTenant,,ApexClass
000000000000000AAA,01p0M00000016ZxQAI,CspTenantCommerceCloudOm,,ApexClass,01p30000001GgYyAAK,CspTenantType,,ApexClass
000000000000000AAA,01p0M00000016ZyQAI,CspTenantCommerceCloudStore,,ApexClass,01p30000001GgYsAAK,CspTenant,,ApexClass
000000000000000AAA,01p0M00000016ZyQAI,CspTenantCommerceCloudStore,,ApexClass,01p30000001GgYyAAK,CspTenantType,,ApexClass
000000000000000AAA,01p0M00000016ZzQAI,ManageRolesInterfaceUtil,,ApexClass,01p0M00000016ZqQAI,ContactRoleData,,ApexClass
000000000000000AAA,01p0M00000016ZzQAI,ManageRolesInterfaceUtil,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016a0QAA,ManageRolesUtil,,ApexClass,01p0M00000016ZqQAI,ContactRoleData,,ApexClass
000000000000000AAA,01p0M00000016a0QAA,ManageRolesUtil,,ApexClass,01p0M00000016ZrQAI,ContactRoleType,,ApexClass
000000000000000AAA,01p0M00000016a0QAA,ManageRolesUtil,,ApexClass,01p0M00000016ZvQAI,ContactRolesUtility,,ApexClass
000000000000000AAA,01p0M00000016a0QAA,ManageRolesUtil,,ApexClass,01p0M00000016ZzQAI,ManageRolesInterfaceUtil,,ApexClass
000000000000000AAA,01p0M00000016a1QAA,SObjectDMLOperation,,ApexClass,01p300000000Li3AAE,EmailNotification,,ApexClass
000000000000000AAA,01p0M00000016a1QAA,SObjectDMLOperation,,ApexClass,01p300000000Li4AAE,EmailSetting,,ApexClass
000000000000000AAA,01p0M00000016a2QAA,CPQAddOnService,,ApexClass,01p0M000001LQomQAG,CPQCartPricingService,,ApexClass
000000000000000AAA,01p0M00000016a2QAA,CPQAddOnService,,ApexClass,01p0M000001LQowQAG,CPQService,,ApexClass
000000000000000AAA,01p0M00000016a2QAA,CPQAddOnService,,ApexClass,01p300000000J5nAAE,StringUtil,,ApexClass
000000000000000AAA,01p0M00000016a2QAA,CPQAddOnService,,ApexClass,01p30000001GasdAAC,CollectionUtil,,ApexClass
000000000000000AAA,01p0M00000016a2QAA,CPQAddOnService,,ApexClass,01p30000001GazyAAC,SfdcAddOnSwapsLicenseTransfer,,ApexClass
000000000000000AAA,01p0M00000016a2QAA,CPQAddOnService,,ApexClass,01p3y000002dhEqAAI,ResellerGetDiscountGateway,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p0M000001LQomQAG,CPQCartPricingService,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p0M000001LQonQAG,CPQCartReviewController,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p0M000001LQowQAG,CPQService,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p0M000001LQozQAG,cpqCacheManager,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p3000000000GYAAY,DateUtils,sfbase,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p300000000HNrAAM,Org62ErrorHandlingUtil,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p300000000IUIAA2,TextUtil,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p300000000J5nAAE,StringUtil,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p300000000LhwAAE,BaseConstants,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001GasYAAS,BaseRecordTypeUtil,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001GascAAC,BaseValueMapper,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001GasdAAC,CollectionUtil,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001GaslAAC,SfdcAccountLocationCreationDefaulting,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001Gb00AAC,SfdcApttusLineItemUtil,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001Gb08AAC,SfdcContractVisibilityAPI,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001Gb0DAAS,SfdcConvertQuoteHelper,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001Gb14AAC,SfdcProposalSOQLBank,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001Gb15AAC,SfdcProposalUtil,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001Gb1OAAS,SfdcQuoteHelper,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001Gb1kAAC,SfdcQuotingConstants,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001LKhqAAG,BaseUtil,,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001LLFcAAO,Property,Apttus_Config2,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001LLUEAA4,CPQ,Apttus_CPQApi,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p30000001LLUNAA4,CPQWebService,Apttus_CPQApi,ApexClass
000000000000000AAA,01p0M00000016a3QAA,CPQRenewalUpgradeService,,ApexClass,01p3y000002dhFCAAY,TableauResellerHelper,,ApexClass
000000000000000AAA,01p0M00000016a4QAA,CPQRevRecCheckListController,,ApexClass,01p300000000HNrAAM,Org62ErrorHandlingUtil,,ApexClass
000000000000000AAA,01p0M00000016a4QAA,CPQRevRecCheckListController,,ApexClass,01p300000021sRkAAI,SfdcRevRecCheckListController,,ApexClass
000000000000000AAA,01p0M00000016a5QAA,PubQuoteAttachmentController,,ApexClass,01p0M00000016a7QAA,PubQuoteDocuSignController,,ApexClass
000000000000000AAA,01p0M00000016a5QAA,PubQuoteAttachmentController,,ApexClass,01p30000001Gb17AAC,SfdcPublishQuoteConstants,,ApexClass
000000000000000AAA,01p0M00000016a5QAA,PubQuoteAttachmentController,,ApexClass,01p30000001Gb18AAC,SfdcPublishQuoteDao,,ApexClass
000000000000000AAA,01p0M00000016a6QAA,PubQuoteCheckoutController,,ApexClass,01p0M00000016aAQAQ,PubQuoteResponse,,ApexClass
000000000000000AAA,01p0M00000016a6QAA,PubQuoteCheckoutController,,ApexClass,01p0M00000016aBQAQ,PubQuoteTargetController,,ApexClass
000000000000000AAA,01p0M00000016a6QAA,PubQuoteCheckoutController,,ApexClass,01p30000001Gb17AAC,SfdcPublishQuoteConstants,,ApexClass
000000000000000AAA,01p0M00000016a6QAA,PubQuoteCheckoutController,,ApexClass,01p30000001Gb18AAC,SfdcPublishQuoteDao,,ApexClass
000000000000000AAA,01p0M00000016a6QAA,PubQuoteCheckoutController,,ApexClass,01p30000001Gb1EAAS,SfdcPublishQuoteValidation,,ApexClass
000000000000000AAA,01p0M00000016a7QAA,PubQuoteDocuSignController,,ApexClass,01p0M00000016a6QAA,PubQuoteCheckoutController,,ApexClass
000000000000000AAA,01p0M00000016a7QAA,PubQuoteDocuSignController,,ApexClass,01p0M00000016aAQAQ,PubQuoteResponse,,ApexClass
000000000000000AAA,01p0M00000016a7QAA,PubQuoteDocuSignController,,ApexClass,01p0M00000016aBQAQ,PubQuoteTargetController,,ApexClass
000000000000000AAA,01p0M00000016a7QAA,PubQuoteDocuSignController,,ApexClass,01p30000001Gb0YAAS,SfdcDomainQuoteTenantData,,ApexClass
000000000000000AAA,01p0M00000016a7QAA,PubQuoteDocuSignController,,ApexClass,01p30000001Gb17AAC,SfdcPublishQuoteConstants,,ApexClass
000000000000000AAA,01p0M00000016a7QAA,PubQuoteDocuSignController,,ApexClass,01p30000001Gb18AAC,SfdcPublishQuoteDao,,ApexClass
000000000000000AAA,01p0M00000016a7QAA,PubQuoteDocuSignController,,ApexClass,01p30000001Gb1AAAS,SfdcPublishQuoteDomain,,ApexClass
000000000000000AAA,01p0M00000016a7QAA,PubQuoteDocuSignController,,ApexClass,01p30000001Gb1EAAS,SfdcPublishQuoteValidation,,ApexClass
000000000000000AAA,01p0M00000016a9QAA,PubQuotePrintController,,ApexClass,01p0M00000016aAQAQ,PubQuoteResponse,,ApexClass
000000000000000AAA,01p0M00000016a9QAA,PubQuotePrintController,,ApexClass,01p0M00000016aBQAQ,PubQuoteTargetController,,ApexClass
000000000000000AAA,01p0M00000016a9QAA,PubQuotePrintController,,ApexClass,01p30000001Gb15AAC,SfdcProposalUtil,,ApexClass
000000000000000AAA,01p0M00000016a9QAA,PubQuotePrintController,,ApexClass,01p30000001Gb17AAC,SfdcPublishQuoteConstants,,ApexClass
000000000000000AAA,01p0M00000016a9QAA,PubQuotePrintController,,ApexClass,01p30000001Gb18AAC,SfdcPublishQuoteDao,,ApexClass
000000000000000AAA,01p0M00000016a9QAA,PubQuotePrintController,,ApexClass,01p30000001Gb1EAAS,SfdcPublishQuoteValidation,,ApexClass
000000000000000AAA,01p0M00000016aBQAQ,PubQuoteTargetController,,ApexClass,01p0M00000016aAQAQ,PubQuoteResponse,,ApexClass
000000000000000AAA,01p0M00000016aBQAQ,PubQuoteTargetController,,ApexClass,01p30000001Gb17AAC,SfdcPublishQuoteConstants,,ApexClass
000000000000000AAA,01p0M00000016aBQAQ,PubQuoteTargetController,,ApexClass,01p30000001Gb18AAC,SfdcPublishQuoteDao,,ApexClass
000000000000000AAA,01p0M00000016aBQAQ,PubQuoteTargetController,,ApexClass,01p30000001Gb1EAAS,SfdcPublishQuoteValidation,,ApexClass
000000000000000AAA,01p0M00000016aBQAQ,PubQuoteTargetController,,ApexClass,01p3y000001sLRQAA2,FeatureToggleService,,ApexClass
000000000000000AAA,01p0M00000016aCQAQ,PubQuoteUnPublishController,,ApexClass,01p0M00000016aAQAQ,PubQuoteResponse,,ApexClass
000000000000000AAA,01p0M00000016aCQAQ,PubQuoteUnPublishController,,ApexClass,01p0M00000016aBQAQ,PubQuoteTargetController,,ApexClass
000000000000000AAA,01p0M00000016aCQAQ,PubQuoteUnPublishController,,ApexClass,01p30000001Gb17AAC,SfdcPublishQuoteConstants,,ApexClass
000000000000000AAA,01p0M00000016aCQAQ,PubQuoteUnPublishController,,ApexClass,01p30000001Gb18AAC,SfdcPublishQuoteDao,,ApexClass
000000000000000AAA,01p0M00000016aCQAQ,PubQuoteUnPublishController,,ApexClass,01p30000001Gb1AAAS,SfdcPublishQuoteDomain,,ApexClass
000000000000000AAA,01p0M00000016aDQAQ,PubQuoteUserSelectController,,ApexClass,01p30000001Gb17AAC,SfdcPublishQuoteConstants,,ApexClass
000000000000000AAA,01p0M00000016aHQAQ,AoBDWriteOffBatchProcess,,ApexClass,01p0M00000016a1QAA,SObjectDMLOperation,,ApexClass
000000000000000AAA,01p0M00000016aHQAQ,AoBDWriteOffBatchProcess,,ApexClass,01p0M00000016aIQAQ,ApprovalProcessStage,,ApexClass
000000000000000AAA,01p0M00000016aHQAQ,AoBDWriteOffBatchProcess,,ApexClass,01p0M00000016aJQAQ,ApprovedProcessContext,,ApexClass
000000000000000AAA,01p0M00000016aHQAQ,AoBDWriteOffBatchProcess,,ApexClass,01p0M000001HIdLQAW,ApexApiRequest,,ApexClass
000000000000000AAA,01p0M00000016aHQAQ,AoBDWriteOffBatchProcess,,ApexClass,01p0M000002FIMxQAO,ContractConstants,,ApexClass
000000000000000AAA,01p0M00000016aHQAQ,AoBDWriteOffBatchProcess,,ApexClass,01p3000000264uYAAQ,BusopHelperUtil,,ApexClass
000000000000000AAA,01p0M00000016aHQAQ,AoBDWriteOffBatchProcess,,ApexClass,01p3y000001PDt3AAG,CrudFlsValidator,,ApexClass
000000000000000AAA,01p0M00000016aHQAQ,AoBDWriteOffBatchProcess,,ApexClass,01p3y000001zApjAAE,IROCaseProcessor,,ApexClass
000000000000000AAA,01p0M00000016aHQAQ,AoBDWriteOffBatchProcess,,ApexClass,01p3y000001zApzAAE,ROCaseMapper,,ApexClass
000000000000000AAA,01p0M00000016aIQAQ,ApprovalProcessStage,,ApexClass,01p0M00000016aJQAQ,ApprovedProcessContext,,ApexClass
000000000000000AAA,01p0M00000016aIQAQ,ApprovalProcessStage,,ApexClass,01p0M00000016aNQAQ,ContractBillOutStage,,ApexClass
000000000000000AAA,01p0M00000016aIQAQ,ApprovalProcessStage,,ApexClass,01p0M00000016aOQAQ,ContractReductionOrderStage,,ApexClass
000000000000000AAA,01p0M00000016aIQAQ,ApprovalProcessStage,,ApexClass,01p0M000001jnIrQAI,CaseWriteOffClosureStage,,ApexClass
000000000000000AAA,01p0M00000016aIQAQ,ApprovalProcessStage,,ApexClass,01p0M000002EwCtQAK,ReadyForAdjustmentStage,,ApexClass
000000000000000AAA,01p0M00000016aIQAQ,ApprovalProcessStage,,ApexClass,01p30000001GasdAAC,CollectionUtil,,ApexClass
000000000000000AAA,01p0M00000016aJQAQ,ApprovedProcessContext,,ApexClass,01p0M00000016a1QAA,SObjectDMLOperation,,ApexClass
000000000000000AAA,01p0M00000016aNQAQ,ContractBillOutStage,,ApexClass,01p0M00000016aIQAQ,ApprovalProcessStage,,ApexClass
000000000000000AAA,01p0M00000016aNQAQ,ContractBillOutStage,,ApexClass,01p0M00000016aJQAQ,ApprovedProcessContext,,ApexClass
000000000000000AAA,01p0M00000016aNQAQ,ContractBillOutStage,,ApexClass,01p300000000010AAA,eimUtils,,ApexClass
000000000000000AAA,01p0M00000016aOQAQ,ContractReductionOrderStage,,ApexClass,01p0M00000016a1QAA,SObjectDMLOperation,,ApexClass
000000000000000AAA,01p0M00000016aOQAQ,ContractReductionOrderStage,,ApexClass,01p0M00000016aIQAQ,ApprovalProcessStage,,ApexClass
000000000000000AAA,01p0M00000016aOQAQ,ContractReductionOrderStage,,ApexClass,01p0M00000016aJQAQ,ApprovedProcessContext,,ApexClass
000000000000000AAA,01p0M00000016aOQAQ,ContractReductionOrderStage,,ApexClass,01p0M000001LQzOQAW,AppConfig,,ApexClass
000000000000000AAA,01p0M00000016aOQAQ,ContractReductionOrderStage,,ApexClass,01p0M000001LQzTQAW,AppConfigRecord,,ApexClass
000000000000000AAA,01p0M00000016aOQAQ,ContractReductionOrderStage,,ApexClass,01p3y000001sLRQAA2,FeatureToggleService,,ApexClass
000000000000000AAA,01p0M00000016aPQAQ,ContractTerminationStage,,ApexClass,01p0M00000016aIQAQ,ApprovalProcessStage,,ApexClass
000000000000000AAA,01p0M00000016aPQAQ,ContractTerminationStage,,ApexClass,01p0M00000016aJQAQ,ApprovedProcessContext,,ApexClass
000000000000000AAA,01p0M00000016aRQAQ,TransactionActions,,ApexClass,01p0M00000016aQQAQ,ScheduleClass,,ApexClass
000000000000000AAA,01p0M00000016aRQAQ,TransactionActions,,ApexClass,01p0M00000266OmQAI,EinvoicingConstants,,ApexClass
000000000000000AAA,01p0M00000016alQAA,CSC_AdditionalFieldsUtils,,ApexClass,01p0M000001rtXOQAY,CSC_Message,,ApexClass
000000000000000AAA,01p0M00000016amQAA,CSC_AdditionalFieldsUtilsTest,,ApexClass,01p0M00000016alQAA,CSC_AdditionalFieldsUtils,,ApexClass
000000000000000AAA,01p0M00000016amQAA,CSC_AdditionalFieldsUtilsTest,,ApexClass,01p0M000001rtXYQAY,CSC_TestDataFactory,,ApexClass
000000000000000AAA,01p0M00000016anQAA,CSC_CSGResourcesController,,ApexClass,01p0M000001rtXOQAY,CSC_Message,,ApexClass
000000000000000AAA,01p0M00000016aoQAA,CSC_CSGResourcesControllerTest,,ApexClass,01p0M00000016anQAA,CSC_CSGResourcesController,,ApexClass
000000000000000AAA,01p0M00000016aoQAA,CSC_CSGResourcesControllerTest,,ApexClass,01p0M000001rtXOQAY,CSC_Message,,ApexClass
000000000000000AAA,01p0M00000016apQAA,CSC_CompassCloneController,,ApexClass,01p0M000001rtXEQAY,CSC_DescribeUtils,,ApexClass
000000000000000AAA,01p0M00000016aqQAA,CSC_CompassCloneControllerTest,,ApexClass,01p0M00000016apQAA,CSC_CompassCloneController,,ApexClass
000000000000000AAA,01p0M00000016aqQAA,CSC_CompassCloneControllerTest,,ApexClass,01p0M000001rtXYQAY,CSC_TestDataFactory,,ApexClass
000000000000000AAA,01p0M00000016arQAA,CSC_NewCompassController,,ApexClass,01p0M000001rtXBQAY,CSC_Constants,,ApexClass
000000000000000AAA,01p0M00000016arQAA,CSC_NewCompassController,,ApexClass,01p0M000001rtXEQAY,CSC_DescribeUtils,,ApexClass
000000000000000AAA,01p0M00000016asQAA,CSC_NewCompassControllerTest,,ApexClass,01p0M00000016arQAA,CSC_NewCompassController,,ApexClass
000000000000000AAA,01p0M00000016asQAA,CSC_NewCompassControllerTest,,ApexClass,01p0M000001rtXBQAY,CSC_Constants,,ApexClass
000000000000000AAA,01p0M00000016asQAA,CSC_NewCompassControllerTest,,ApexClass,01p0M000001rtXYQAY,CSC_TestDataFactory,,ApexClass
000000000000000AAA,01p0M00000016b7QAA,LeadEnrichChatterUtil,,ApexClass,01p0M00000016bAQAQ,LeadEnrichManager,,ApexClass
000000000000000AAA,01p0M00000016b9QAA,LeadEnrichLeadsDAO,,ApexClass,01p0M00000016b8QAA,LeadEnrichConstants,,ApexClass
000000000000000AAA,01p0M00000016b9QAA,LeadEnrichLeadsDAO,,ApexClass,01p0M000001LQzOQAW,AppConfig,,ApexClass
000000000000000AAA,01p0M00000016b9QAA,LeadEnrichLeadsDAO,,ApexClass,01p0M000001LQzTQAW,AppConfigRecord,,ApexClass
000000000000000AAA,01p0M00000016bAQAQ,LeadEnrichManager,,ApexClass,01p0M00000016b5QAA,LeadEnrichAccountDAO,,ApexClass
000000000000000AAA,01p0M00000016bAQAQ,LeadEnrichManager,,ApexClass,01p0M00000016b6QAA,LeadEnrichAccountMatcher,,ApexClass
000000000000000AAA,01p0M00000016bAQAQ,LeadEnrichManager,,ApexClass,01p0M00000016b7QAA,LeadEnrichChatterUtil,,ApexClass
000000000000000AAA,01p0M00000016bAQAQ,LeadEnrichManager,,ApexClass,01p0M00000016b8QAA,LeadEnrichConstants,,ApexClass
